Time,200
12/13/2023 13:06,1.64 K
12/13/2023 13:06,1.65 K
12/13/2023 13:06,1.65 K
12/13/2023 13:06,1.65 K
12/13/2023 13:06,1.67 K
12/13/2023 13:06,1.67 K
12/13/2023 13:06,1.65 K
12/13/2023 13:06,1.65 K
12/13/2023 13:06,1.65 K
12/13/2023 13:06,1.66 K
12/13/2023 13:06,1.66 K
12/13/2023 13:06,1.67 K
12/13/2023 13:07,1.67 K
12/13/2023 13:07,1.67 K
12/13/2023 13:07,1.66 K
12/13/2023 13:07,1.66 K
12/13/2023 13:07,1.67 K
12/13/2023 13:07,1.67 K
12/13/2023 13:07,1.67 K
12/13/2023 13:07,1.62 K
12/13/2023 13:07,1.62 K
12/13/2023 13:07,1.66 K
12/13/2023 13:07,1.66 K
12/13/2023 13:07,1.66 K
12/13/2023 13:07,1.68 K
12/13/2023 13:07,1.68 K
12/13/2023 13:07,1.64 K
12/13/2023 13:07,1.64 K
12/13/2023 13:07,1.64 K
12/13/2023 13:07,1.66 K
12/13/2023 13:07,1.66 K
12/13/2023 13:07,1.68 K
12/13/2023 13:07,1.68 K
12/13/2023 13:07,1.68 K
12/13/2023 13:07,1.66 K
12/13/2023 13:07,1.66 K
12/13/2023 13:07,1.66 K
12/13/2023 13:07,1.66 K
12/13/2023 13:07,1.66 K
12/13/2023 13:07,1.65 K
12/13/2023 13:07,1.65 K
12/13/2023 13:07,1.68 K
12/13/2023 13:08,1.68 K
12/13/2023 13:08,1.68 K
12/13/2023 13:08,1.66 K
12/13/2023 13:08,1.66 K
12/13/2023 13:08,1.68 K
12/13/2023 13:08,1.68 K
12/13/2023 13:08,1.68 K
12/13/2023 13:08,1.66 K
12/13/2023 13:08,1.66 K
12/13/2023 13:08,1.66 K
12/13/2023 13:08,1.66 K
12/13/2023 13:08,1.66 K
12/13/2023 13:08,1.65 K
12/13/2023 13:08,1.65 K
12/13/2023 13:08,1.69 K
12/13/2023 13:08,1.69 K
12/13/2023 13:08,1.69 K
12/13/2023 13:08,1.67 K
12/13/2023 13:08,1.67 K
12/13/2023 13:08,1.67 K
12/13/2023 13:08,1.67 K
12/13/2023 13:08,1.67 K
12/13/2023 13:08,1.67 K
12/13/2023 13:08,1.67 K
12/13/2023 13:08,1.69 K
12/13/2023 13:08,1.69 K
12/13/2023 13:08,1.69 K
12/13/2023 13:08,1.68 K
12/13/2023 13:08,1.68 K
12/13/2023 13:08,1.69 K
12/13/2023 13:09,1.69 K
12/13/2023 13:09,1.69 K
12/13/2023 13:09,1.68 K
12/13/2023 13:09,1.68 K
12/13/2023 13:09,1.69 K
12/13/2023 13:09,1.69 K
12/13/2023 13:09,1.69 K
12/13/2023 13:09,1.69 K
12/13/2023 13:09,1.69 K
12/13/2023 13:09,1.70 K
12/13/2023 13:09,1.70 K
12/13/2023 13:09,1.70 K
12/13/2023 13:09,2.09 K
12/13/2023 13:09,1.86 K
12/13/2023 13:09,1.75 K
12/13/2023 13:09,1.75 K
12/13/2023 13:09,1.75 K
12/13/2023 13:09,1.70 K
12/13/2023 13:09,1.70 K
12/13/2023 13:09,1.69 K
12/13/2023 13:09,1.69 K
12/13/2023 13:09,1.69 K
12/13/2023 13:09,1.67 K
12/13/2023 13:09,1.67 K
12/13/2023 13:09,1.71 K
12/13/2023 13:09,1.71 K
12/13/2023 13:09,1.71 K
12/13/2023 13:09,1.65 K
12/13/2023 13:09,1.65 K
12/13/2023 13:09,1.69 K
12/13/2023 13:10,1.69 K
12/13/2023 13:10,241
12/13/2023 13:10,1.70 K
12/13/2023 13:10,1.70 K
12/13/2023 13:10,1.68 K
12/13/2023 13:10,1.68 K
12/13/2023 13:10,1.44 K
12/13/2023 13:10,1.71 K
12/13/2023 13:10,1.71 K
12/13/2023 13:10,1.69 K
12/13/2023 13:10,1.68 K
12/13/2023 13:10,1.68 K
12/13/2023 13:10,1.67 K
12/13/2023 13:10,1.44 K
12/13/2023 13:10,1.98 K
12/13/2023 13:10,1.98 K
12/13/2023 13:10,1.74 K
12/13/2023 13:10,1.85 K
12/13/2023 13:10,1.85 K
12/13/2023 13:10,1.70 K
12/13/2023 13:10,1.70 K
12/13/2023 13:10,1.70 K
12/13/2023 13:10,1.70 K
12/13/2023 13:10,1.70 K
12/13/2023 13:10,1.64 K
